distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
360.5,0.31990841089282185,248.25165151599398,0.023184697,0.11219821849378517,0.4292522509465158,262.95660649316807,20.437764712226336
361,0.32799030758906156,462.21862049864797,0.017946991196198882,0.07809098,0.34892130195679044,256.46597962688554,24.192051445411053
361.5,0.3461745751556009,366.1761336036254,0.018824206725222226,0.10593368294699211,0.37709139175425355,261.7831362844187,22.553540765802097
362,0.34213362680748105,253.61105476513796,0.023612881875520728,0.1180745541518628,0.4262069918104425,265.7991053433327,20.324074928110495
362.5,0.34886854072101414,1553.145354666384,0.010016922203444535,0.044469722196463814,0.23295530021140584,248.81563027688208,31.464425229758984
363,0.36503233411349356,1326.3914650331621,0.010241951,0.053568239,0.2455383824378332,252.4487431472244,30.322280914799023
363.5,0.3758081963751465,941.9272080230907,0.012944878069742531,0.061187934,0.275214207,256.68648854594926,28.098170553718916
364,0.3973599208984524,1287.826675491633,0.011600030855365493,0.053199013438890844,0.2479652509517353,257.28387278080237,29.829162079768388
364.5,0.39938039507251233,981.7063210230751,0.015615161651051425,0.051873731783133495,0.27144557575917777,259.5966560055026,28.13141939655853
365,0.3448275923728943,598.2700187521754,0.024038629377615212,0.049304744,0.32016772508701363,256.29350761821485,25.605016021420905
365.5,0.31182651419658214,638.1688710107364,0.020541173797251594,0.047352026073593914,0.31335124505758616,250.47178867314517,26.372618958811053
366,0.30576509167440236,333.36011228934086,0.027941295812387325,0.068826555,0.38907986104466624,256.90292473443384,22.426969029451424
366.5,0.31856142811011523,244.67601289360076,0.031351331,0.088217409,0.43133314474171647,262.96101024186027,20.363451511149332
367,0.3589709115913138,359.3986922012407,0.026589467782289048,0.076254686,0.37944700785763097,263.7700435095874,22.30510944661618
367.5,0.37782867054920644,611.9723885435424,0.016541894,0.07613077,0.31776009312891124,260.7646474555016,25.410602555031097
368,0.38523707585409284,897.0070069784514,0.012833149,0.065923597,0.2797336324340448,258.4041552448376,27.705168362292262
368.5,0.3764816877664998,2026.876406600014,0.008124943,0.045789707904954804,0.2131739868259531,251.24148010800164,32.832603316475264
369,0.36301185993943363,2715.7561468607855,0.007183631,0.037485301,0.1933658187176139,247.40508163084084,34.77601248902689
369.5,0.3448275923728943,775.9787939992979,0.013961039701893664,0.063341126,0.29358014389998793,253.8183233723113,27.21406287330253
370,0.3542564718518406,380.46590547579956,0.020062650074842057,0.093526325,0.37231001192104357,262.4700100618722,22.705914143494493
